id,claim,source,date,label,explanation,reference_links
169,"Vaccines cause Alzheimer's disease","Misinformation","2020-06-11",false,"No evidence supporting this claim","https://www.cdc.gov/vaccinesafety/concerns/alzheimers.html"
170,"COVID-19 vaccines contain aborted fetal tissue","Social media","2021-02-05",false,"No fetal tissue in vaccines","https://www.factcheck.org/2021/03/scicheck-no-fetal-tissue-used-in-covid-19-vaccines/"
171,"The HPV vaccine causes premature ovarian failure","Anti-vaccine claim","2019-04-19",false,"No scientific evidence supports this","https://www.cdc.gov/vaccinesafety/vaccines/hpv/hpv-safety-faqs.html"
172,"Vaccines cause rheumatoid arthritis","Misinformation","2020-09-30",false,"No link between vaccines and RA","https://www.cdc.gov/vaccinesafety/concerns/arthritis.html"
173,"COVID-19 vaccines cause infertility in men","Social media","2021-01-08",false,"No evidence of impact on male fertility","https://www.urologyhealth.org/healthy-living/care-blog/covid-19-vaccines-and-male-fertility"
174,"The flu vaccine causes miscarriages","Anti-vaccine myth","2019-12-25",false,"Flu vaccine is safe during pregnancy","https://www.cdc.gov/flu/highrisk/pregnant.htm"
175,"Vaccines cause lupus","Misinformation","2020-05-14",false,"No evidence vaccines cause lupus","https://www.cdc.gov/vaccinesafety/concerns/lupus.html"
176,"COVID-19 vaccines contain aluminum that causes dementia","Social media","2021-04-02",false,"Aluminum in vaccines is minimal and safe","https://www.cdc.gov/vaccinesafety/concerns/adjuvants.html"
177,"The hepatitis A vaccine causes liver failure","Anti-vaccine claim","2019-07-31",false,"No evidence supporting this claim","https://www.cdc.gov/vaccinesafety/concerns/liver-failure.html"
178,"Vaccines cause chronic fatigue syndrome","Misinformation","2020-11-05",false,"No scientific link established","https://www.cdc.gov/vaccinesafety/concerns/chronic-fatigue.html"
179,"COVID-19 vaccines contain snake venom","Conspiracy theory","2021-06-22",false,"No such ingredient in vaccines","https://www.factcheck.org/2021/06/scicheck-no-snake-venom-in-covid-19-vaccines/"
180,"The pneumococcal vaccine causes pneumonia","Anti-vaccine myth","2019-08-22",false,"Vaccine cannot cause pneumonia","https://www.cdc.gov/vaccinesafety/concerns/pneumonia.html"
181,"Vaccines cause Gulf War Syndrome","Misinformation","2020-04-03",false,"No link between vaccines and GWS","https://www.cdc.gov/vaccinesafety/concerns/gulf-war-syndrome.html"
182,"COVID-19 vaccines contain parasites","Social media","2021-03-11",false,"No parasites in vaccines","https://www.factcheck.org/2021/03/scicheck-no-parasites-in-covid-19-vaccines/"
183,"The meningococcal vaccine causes meningitis","Anti-vaccine claim","2019-11-07",false,"Vaccine cannot cause meningitis","https://www.cdc.gov/vaccinesafety/concerns/meningitis.html"
184,"Vaccines cause fibromyalgia","Misinformation","2020-10-14",false,"No evidence supporting this claim","https://www.cdc.gov/vaccinesafety/concerns/fibromyalgia.html"
185,"COVID-19 vaccines contain HIV","Conspiracy theory","2021-05-05",false,"No HIV in vaccines","https://www.factcheck.org/2021/05/scicheck-no-hiv-in-covid-19-vaccines/"
186,"The shingles vaccine causes shingles","Anti-vaccine myth","2019-09-19",false,"Vaccine contains inactive virus","https://www.cdc.gov/vaccinesafety/concerns/shingles.html"
187,"Vaccines cause transverse myelitis","Misinformation","2020-07-09",false,"Extremely rare if it occurs","https://www.cdc.gov/vaccinesafety/concerns/transverse-myelitis.html"
188,"COVID-19 vaccines contain nanobots","Social media","2021-02-16",false,"No nanobots in vaccines","https://www.factcheck.org/2021/02/scicheck-no-nanobots-in-covid-19-vaccines/"
189,"The Tdap vaccine causes stillbirths","Anti-vaccine claim","2019-06-13",false,"Recommended during pregnancy","https://www.cdc.gov/vaccinesafety/concerns/stillbirth.html"
190,"Vaccines cause chronic pain","Misinformation","2020-12-03",false,"No evidence supporting this claim","https://www.cdc.gov/vaccinesafety/concerns/chronic-pain.html"
191,"COVID-19 vaccines contain monkey DNA","Conspiracy theory","2021-04-28",false,"No monkey DNA in vaccines","https://www.factcheck.org/2021/04/scicheck-no-monkey-dna-in-covid-19-vaccines/"
192,"The Hib vaccine causes Hib disease","Anti-vaccine myth","2019-10-08",false,"Vaccine cannot cause Hib disease","https://www.cdc.gov/vaccinesafety/concerns/hib-disease.html"
193,"Vaccines cause Guillain-Barré syndrome in everyone","Misinformation","2020-03-05",false,"Extremely rare, benefits outweigh risks","https://www.cdc.gov/vaccinesafety/concerns/guillain-barre-syndrome.html"
194,"COVID-19 vaccines contain SM-102 which is dangerous","Social media","2021-06-08",false,"SM-102 is safe in vaccine formulation","https://www.factcheck.org/2021/05/scicheck-sm-102-in-moderna-covid-19-vaccine-not-dangerous/"
195,"The varicella vaccine causes shingles","Anti-vaccine claim","2019-05-21",false,"Vaccine reduces shingles risk","https://www.cdc.gov/vaccinesafety/concerns/shingles.html"
196,"Vaccines cause chronic inflammatory demyelinating polyneuropathy","Misinformation","2020-09-07",false,"No evidence supporting this claim","https://www.cdc.gov/vaccinesafety/concerns/cidp.html"
197,"COVID-19 vaccines contain polyethylene glycol that causes anaphylaxis","Social media","2021-01-15",false,"PEG reactions are extremely rare","https://www.cdc.gov/coronavirus/2019-ncov/vaccines/safety/allergic-reaction.html"
198,"The influenza vaccine causes influenza","Anti-vaccine myth","2019-12-18",false,"Vaccine cannot cause flu","https://www.cdc.gov/flu/prevent/misconceptions.htm"
199,"Vaccines cause small fiber neuropathy","Misinformation","2020-08-13",false,"No evidence supporting this claim","https://www.cdc.gov/vaccinesafety/concerns/small-fiber-neuropathy.html"
200,"Cancer can be cured with baking soda","Alternative health blog","2021-05-15",false,"No scientific evidence supports this dangerous claim","https://www.cancer.gov/about-cancer/treatment/cam/hp/prostate-cancer-pdq"
